program,university,country,publicPrivate,track,language,tuitionIntl,scholarshipName,fundingLevel,stipendCoverage,tunisianEligible,portfolioReq,entryRequirements,applicationOpens,deadline,sourceUrl,fitNotes,verified,verificationNotes
Master of Arts in Global Entertainment and Music Business (GEMB),Berklee College of Music - Valencia campus,Spain,Private,Music-Business,English,"USD 50,430 tuition + USD 1,600 comprehensive fee = USD 52,030 (September 2026 entry, 3 semesters/1 year; $1,615 per credit)",,Partial,General merit awards (variable) + Diversity Scholarship up to 50% of tuition; combined awards capped at 90%; no living stipend,Y,N (business track; essay and interview instead - confirm specifics on admissions page),Bachelor's degree (any field - software engineering accepted); application essay/interview; English proficiency test required (candidate has not yet taken IELTS/TOEFL); scholarship consideration requires admission application by the matching deadline,Program application: Nov 1 (early action) / Jan 15 (regular action) annually,"Scholarship deadlines: Nov 15 (early action) / Feb 1 (regular action, also Diversity Scholarship deadline) - annual cycle, confirm 2027 dates when published",https://valencia.berklee.edu/scholarships-financial-aid/scholarships-for-graduate-programs,"Top music-business master's directly serving his DJ/producer industry-knowledge goal. Scholarship menu confirmed: Berklee General Scholarship (variable), Diversity Scholarship up to 50% of tuition (up to 4/year, for demonstrated leadership in underrepresented/diverse communities - a Tunisian applicant can argue fit), stacking capped at 90%. Outstanding Women Scholarship (up to 70%, GEMB-eligible) not applicable to a male candidate. Even at 50% award, ~$26k tuition + Valencia living costs remain self-funded.",Verified,"Official Berklee Valencia scholarships page fetched 12 Jul 2026: deadlines (Nov 1/Nov 15 early; Jan 15/Feb 1 regular; Diversity Feb 1), Diversity up to 50%, 90% stacking cap all confirmed. Tuition verified on official tuition page: $50,430 + $1,600 fee for Sept 2026 graduate entry. 2027-cycle dates follow the same annual pattern but confirm when published. No nationality restrictions stated."
Master of Music in Sonology (Institute of Sonology),Royal Conservatoire The Hague (Koninklijk Conservatorium),Netherlands,Conservatory,Sound/Music-Tech,English,"EUR 11,488/yr non-EEA institutional fee (2026-27, confirmed on koncon tuition page); EU statutory EUR 2,694","NL Scholarship (non-EEA) and Koncon Excellence Scholarship (all nationalities) - both confirmed on koncon scholarships page; limited number, cannot combine",Partial,"NL Scholarship = EUR 5,000 one-off (national scheme); Excellence Scholarship amount not published - awarded by the Principal on head-of-department nomination (by 1 July) for exceptional entrance-exam performance. No full funding, no living stipend",Y (non-EEA; NL Scholarship targets non-EEA students),"Y (selection on portfolio of previous compositions, sound installations, recordings of live performances, or research results such as computer programs/articles/theses; NO live admission exam; plus a two-page study plan with project, research question, and 4-semester timeline)","Bachelor of Music in Sonology or equivalent - page explicitly notes many students hold bachelors in 'composition, computer science, musicology' or as performers; 2-year research-driven program; non-EU/EEA admits must prove English before 1 Sept: minimum IELTS 6.0 or TOEFL 80 (TOEIC/Cambridge also accepted)",Check (via Studielink under 'Royal Academy of Art/Royal Conservatoire The Hague'; new cycle expected to open autumn 2026 for Sept 2027),"PRIOR CYCLE - confirm new date (2026 cycle: Studielink registration deadline 26 February, decision by 1 April; program page currently shows 'Applications closed')",https://www.koncon.nl/en/programmes/master/sonology/master-sonology,World-famous electronic/computer-music institute that explicitly admits computer-science graduates and selects on portfolio with no live audition - strong fit for this CS grad; note candidate must pass IELTS 6.0/TOEFL 80 by 1 Sept of entry year (test not yet taken),Verified,"Program page, tuition page (EUR 11,488 non-EEA 2026-27), scholarships page (NL + Excellence), and apply-page details (26 Feb Studielink deadline, portfolio/study plan, IELTS 6.0/TOEFL 80 before 1 Sept) all confirmed 12 Jul 2026 via koncon.nl (apply details corroborated by koncon apply page and sonology.org). Excellence Scholarship amount/coverage not published - check with department."
MA in Global Entertainment and Music Business (GEMB),Berklee College of Music - Valencia Campus,Spain,Private,Music-Business,English,"USD 1,615/credit for 2026-27 (verified); GEMB is 34-35 credits (60 ECTS) over 3 semesters => ~USD 55,000-56,500 tuition, plus USD 1,600 comprehensive fee and standard fees",Berklee General Scholarship (all master's applicants); Outstanding Women Scholarship up to 70% tuition specifically names GEMB (1 recipient); Diversity Scholarship up to 50% (4/yr campus-wide); awards capped at 90% of tuition,Partial,Tuition-only discounts; no living stipend,Y,N,"Bachelor's degree; profile sought: executive/managerial or entrepreneurial goals, business knowledge, understanding of entertainment industry and tech, leadership experience; no audition/portfolio mentioned on official page; English if degree not English-taught: recommended IELTS 7.5 / TOEFL ~80 / Duolingo 120",Check,"Recurring annual pattern (verified, year unstated): Early 1 Nov / Regular 15 Jan / Extended 10 Mar, scholarship deadlines 15 Nov / 1 Feb / 10 Mar. For Sept 2027 expect Nov 2026 - Mar 2027 windows; confirm cycle year.",https://valencia.berklee.edu/graduate-programs/gemb/global-entertainment-and-music-business,"Track-2 flagship confirmed: 1-year music-industry MA inside a working music school with 50+ networking events, 40+ guest speakers and live projects with Sony Music Germany / Kobalt - strongest industry-network play; self-pay ~USD 57k all-in with partial merit aid only",Verified,"sourceUrl upgraded from the scholarships page to the verified official GEMB programme page. Verified: programme existence/content, 34-35 credits / 60 ECTS / 3 semesters, 2026-27 per-credit tuition, scholarship eligibility (incl. GEMB-specific Outstanding Women up to 70%), deadline structure. Not fully pinned: 2027-cycle dates and whether an interview is formally required."
"MA Cultural Economics and Entrepreneurship (1 year, 60 ECTS)",Erasmus University Rotterdam (ESHCC),Netherlands,Public,Music-Business,English,"EUR 21,000 non-EEA institutional fee (ESHCC masters 2026-27, confirmed on EUR tuition-fee page); EU statutory EUR 2,694","NL Scholarship (non-EEA, EUR 5,000) + Erasmus Trustfonds Scholarship (amounts vary - check)",Partial,"NL Scholarship EUR 5,000 one-off; Trustfonds amounts vary - Check",Y,N,"Research-university bachelor with good results PLUS 'some training in economics at university level' and documented sustained interest in arts/culture - a pure CS/software degree is unlikely to qualify without economics coursework; IELTS 7.0 (6.5 subscores) / TOEFL iBT 100 (23 subscores), test max 2 years old; no GMAT/GRE mentioned",Check (~Oct 2026 for Sept 2027),PRIOR CYCLE - confirm new date (EEA deadline shown as 15 May; non-EEA English-proof deadline 1 May; full non-EEA application deadline for Sept 2027 not yet published),https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship,"Leading economics-of-creative-industries program in Europe, strong for music-business/label/event economics - but admissions explicitly require university-level economics training, a real hurdle for this CS candidate; expensive for non-EEA with only partial scholarships",Verified,"Program, 1-year/60 ECTS, English, and admission page confirmed. Tuition EUR 21,000 non-EEA (2026-27) confirmed on EUR institutional-fee page (single ESHCC master rate). Key correction: admission requires economics training at university level - CS admission is doubtful, not merely 'to be checked'. English bar is higher than typical (IELTS 7.0/TOEFL 100). Non-EEA application deadline for 2027 intake not yet published."
"Master's Programme in Live Electronics (MMus, 2 years, 120 ECTS)",Conservatorium van Amsterdam (AHK),Netherlands,Conservatory,Sound/Music-Tech,English,"EUR 8,250/yr non-EEA institutional fee for CvA Master Music (2026-27, AHK tuition page); note AHK states institutional fees will 'gradually increase to a minimum of EUR 10,000'; EU statutory EUR 2,694","NL Scholarship via AHK - confirmed: AHK participates with 13 NL Scholarships for 2026 (EUR 5,000, non-EEA; 2026 application window was 1 Feb - 30 Apr)",Partial,"EUR 5,000 one-off; no living stipend; no full-funding scheme found at AHK",Y (non-EEA; Switzerland/Suriname are the only extra exclusions),Y (links to audio/video recordings of a live electronic music performance + motivation letter; selected candidates give a live electronic performance of max 10 minutes followed by ~10-minute interview; online audition possible for internationals),"Instrumental bachelor's degree or equivalent; explicitly 'targeted towards performers with a music-driven interest in electronics and technology, which could also include laptopists, or software-based musicians' with proficiency in music theory and sufficient performance level; own recent MacBook Pro, Max (Cycling '74), Ableton Live, professional audio/MIDI interface, mics/cabling required",Check (apply via https://apply.conservatoriumvanamsterdam.nl/; new cycle expected autumn 2026 for Sept 2027),"PRIOR CYCLE - confirm new date (closing date was 1 March 2026 for the Sept 2026 intake, per CvA closing-dates page)",https://www.conservatoriumvanamsterdam.nl/en/study/focus-masters/live-electronics/,"Explicitly welcomes laptop/Ableton/Max performers - directly relevant to live electronic performance and DJ practice; the bar is demonstrable music-theory and live-performance level, which the candidate must evidence in the audition",Verified,"Program page confirmed 12 Jul 2026 (language, ECTS, laptopist wording, equipment list, audition format). Deadline 1 March 2026 confirmed on CvA closing-dates page (prior cycle). Tuition EUR 8,250 (Master Music) from AHK tuition-fees page 2026/27. AHK NL Scholarship participation (13 awards, EUR 5,000) confirmed via ahk.nl/en/nl-scholarship."
MA Music Business Management,"University of Westminster, London",United Kingdom,Public,Music-Business,English,"GBP 16,000/year (official 2026-27 course page; aggregator's GBP 15,000 was wrong)","International Postgraduate Excellence Award (GBP 3,000)",Partial,"GBP 3,000 International Postgraduate Excellence Award (tuition-fee reduction only; cannot offset the GBP 5,500 CAS deposit); Richard Antwi Scholarship on course page is Home-fee only, not applicable",Y,N,"2:1 or 2:2 honours degree; personal statement showing understanding of the course; IELTS 6.0 (min 5.5 speaking and writing) at application, 6.5 (min 6.0 writing) by course start - candidate has NOT yet taken IELTS",Rolling applications; September 2026 and September 2027 intakes both listed on official course page,Course: rolling (see How to apply page). International Postgraduate Excellence Award: 26 June 2026 for Sept 2026 start (PASSED); Sept 2027 round not yet published - PRIOR CYCLE - confirm new date,https://www.westminster.ac.uk/music-courses/2026-27/september/full-time/music-business-management-ma,Confirmed strong music-business MA fit for DJ/producer career; software-engineering degree meets the 2:2+ bar; IELTS is the actionable gap,Verified,"Official course page confirms program, both Sept 2026 and Sept 2027 intakes, GBP 16,000 intl fee, and entry/IELTS requirements. Excellence Award page confirms GBP 3,000, open to overseas-fee students of any nationality, min UK-equivalent good 2.1; but its published deadline (26 Jun 2026) was for Sept 2026 and has passed - Sept 2027 cycle dates not yet published. Prior record's '30 Nov 2026 / Jan 2027 intake' deadline not found on the official award page. No full scholarship found for this program."
"Master of Music, pathway Music Design (Music & Technology - strands: Composition, Music Production, Music Technology, Sound Design)",HKU University of the Arts Utrecht,Netherlands,Public,Sound/Music-Tech,English (page confirms: 'The lessons that are offered to the MMus are taught in English'),"UNVERIFIED - non-EEA institutional fee published only via HKU Tuition Fee Calculator (no flat figure on site); EU statutory EUR 2,694 (2026-27)","NL Scholarship - CONFIRMED on hku.nl for the HKU Master of Music (also MFA/Scenography): EUR 5,000 for non-EEA students",Partial,"EUR 5,000 one-off in first year only; HKU page explicitly notes it is 'not a full-tuition scholarship'; no living stipend; applicant must show a feasible financial plan for the whole study period",Y (Tunisia is non-EEA and not excluded; NL Scholarship requires no prior Dutch degree),Y,"Bachelor in relevant field OR professional experience at comparable level (exception possible for candidates without a Bachelor of Music given 'exceptional talent and a steady track record'); portfolio, motivation letter, study plan, CV; English proficiency per HKU general requirements. Four strands (Music Technology, Music Production, Sound Design, Composition) which students may combine",1 October 2026 (official page states applications for 2027-2028 open October 1),PRIOR CYCLE - confirm new date (2026-27 cycle upload deadlines were 24 Nov / 12 Jan / 16 Feb / 13 Apr; non-EU/EEA advised to apply before 1 April; expect similar pattern for Sept 2027),https://www.hku.nl/en/study-at-hku/music-and-technology/master-of-music-pathway-music-design,"Best-fit NL option for this candidate: explicit Music Production/Music Technology/Sound Design strands, combinable, and open to non-music bachelors with strong portfolio - ideal for a software engineer turned producer/DJ; NL Scholarship participation for MMus confirmed",Verified,"Program page fetched 12 Jul 2026: strands, English teaching, entry requirements, rolling deadlines, 1-Oct opening for 2027-28, and NL/Holland Scholarship mention all confirmed. NL Scholarship details (EUR 5,000, non-EEA, MMus eligible, application from mid-Nov) confirmed via hku.nl NL Scholarship page surfaced in search. Only gap: exact non-EEA institutional tuition (calculator-only; site warns fees 'may rise considerably in coming years')."
"Master in Immersive Audio (MMus, 2 years, 120 ECTS)",Conservatorium van Amsterdam (AHK),Netherlands,Conservatory,Sound-Design/Production,English,"EUR 8,250/yr non-EEA institutional fee for CvA Master Music (2026-27, AHK tuition page; rising toward minimum EUR 10,000 in coming years); EU statutory EUR 2,694","NL Scholarship via AHK - confirmed: 13 NL Scholarships for 2026 (EUR 5,000, non-EEA)",Partial,"EUR 5,000 one-off; no living stipend",Y (non-EEA),"Y (motivation letter covering journey/interests/career goals, detailed CV, at least three high-quality stereo recordings in diverse musical styles; Stage 2: on-the-spot 10-minute stereo mix of a pre-recorded 24-track session in Pro Tools)","BA in Music or closely related field; candidates with sound-engineering or music-technology credentials (e.g. Abbey Road Institute, SAE or equivalent) may be considered; 'significant experience in audio engineering at a professional level is required'; proficiency in Pro Tools (or main DAW), Ableton or other industry-standard DAWs mandatory",Check (apply via https://apply.conservatoriumvanamsterdam.nl/; new cycle expected autumn 2026 for Sept 2027),"PRIOR CYCLE - confirm new date (closing date was 1 March 2026 for the Sept 2026 intake, per CvA closing-dates page)",https://www.conservatoriumvanamsterdam.nl/en/study/classical-music/principal-subjects/immersive-audio/,"Cutting-edge spatial-audio production master (music, gaming, VR/AR) that considers sound-engineering/music-tech backgrounds - strong producer-oriented option, but the stated requirement of professional-level audio-engineering experience plus the timed Pro Tools mix test is a real hurdle for a fresh software-engineering graduate",Verified,"Program page confirmed 12 Jul 2026 (entry requirements, 3-stereo-recordings portfolio, Pro Tools 24-track mix test, DAW requirement, English, 120 ECTS). Deadline 1 March 2026 (prior cycle) from CvA closing-dates page; tuition and NL Scholarship from AHK pages as for Live Electronics."
"Master of Music (individual study route, artistic identity focus)","ArtEZ University of the Arts, Arnhem",Netherlands,Public,Sound/Music-Tech,English,"EUR 13,030/yr institutional fee for master's programmes, 2026-27 (official ArtEZ tuition-fees page); statutory fee EUR 2,694 for EU","NL Scholarship (EUR 5,000, non-EEA, first year only; ArtEZ participates - official page) + ArtEZ Scholarship (EUR 5,000 per year for degree duration, for excellent non-EU students)",Partial,"EUR 5,000 one-off (NL Scholarship) and/or EUR 5,000/yr (ArtEZ Scholarship) against EUR 13,030/yr fee; no living stipend; non-EU financial guarantee required by 31 May",Y,Y (entrance exam required; apply before 1 Feb for main exam round 30 Mar-1 Apr; the specific '45-min audition + video introduction' format was NOT re-confirmed on the fetched page - verify format with conservatoire),"Relevant bachelor + entrance exam (audition/interview, 5-step admission); English proficiency (exact test scores not stated on page); non-EU financial guarantee by 31 May","Check (entrance-exam application window not published for 2027 cycle; NL Scholarship application opened 1 Feb 2026 after admission, docs by 1 May 2026 - prior cycle)",PRIOR CYCLE - confirm new date (2026 cycle: apply by 1 Feb for main entrance exams 30 Mar-1 Apr; non-EU/EEA enrolment deadline 31 May; start 31 Aug 2026),https://www.artez.nl/en/programmes/master/master-of-music-arnhem,Design-your-own-path 2-yr MMus (120 ECTS) - viable only if the candidate can pass a music-performance entrance exam; net cost ~EUR 8-13k/yr after EUR 5k-level scholarships,Verified,"Official programme page fetched 12 Jul 2026: confirms existence, English, 2 yrs/120 ECTS, Arnhem, start 31 Aug 2026, exam apply-by 1 Feb, non-EU enrolment deadline 31 May. Tuition EUR 13,030 (2026-27 masters institutional) from official ArtEZ tuition page. NL Scholarship EUR 5,000 and ArtEZ Scholarship EUR 5,000/yr confirmed on official artez.nl scholarship pages. Not confirmed: exact audition format (45-min claim) and English test thresholds - check admission-requirements subpage. All dates are 2026-cycle; 2027 dates unpublished."
Master of Music - study routes New York Jazz and NAIP (New Audiences & Innovative Practice),"Prince Claus Conservatoire, Hanze University of Applied Sciences, Groningen",Netherlands,Conservatory (public - part of Hanze UAS),Sound/Music-Tech,English,"EUR 9,302/yr non-EU institutional master fee per Hanze 2025-26 master booklet - confirm 2026-27/2027-28 rate via Hanze fee calculator","Built-in funded NY semester (NY Jazz route); NL Scholarship at Hanze (EUR 5,000 one-off, non-EEA, confirmed on Hanze pages); Hanze Scholarship (EUR 10,000/yr living allowance paid EUR 1,000/month, non-EEA) - confirm Master of Music eligibility for the latter",Partial,Third semester in New York is compulsory and 'financed and guided by the Prins Claus Conservatorium' (not an exchange) - verified on official route page; plus personal lesson budget for private lessons with NY teachers; NL Scholarship cannot reduce tuition (one-off payment),Y,"Y (pre-selection: 3 performance videos on YouTube + 1 introduction video max 2 min, CV max 2 pages, study plan max 2 pages; then live audition = performance + interview)",Bachelor of Music-level performance ('convincing musical and artistic capacities'); video pre-selection + audition (performance + interview); English proficiency; NAIP route also exists for innovative-practice profiles,Check (via Studielink; 2027-28 window not yet announced),PRIOR CYCLE - confirm new date (Studielink by 1 March 2026 for 2026-27 intake; official page states 'Information about the application deadline for study year 2027-2028 will follow'),https://www.prinsclausconservatorium.nl/en/programmes/master-of-music,"The funded New York semester is real and verified, but the jazz-performance audition (3 performance videos) makes this a stretch for a DJ/producer without instrumental performance chops",Verified,"Old hanze.nl URL 301-redirects to prinsclausconservatorium.nl - sourceUrl updated. Official pages fetched 12 Jul 2026: routes (Classical, New York Jazz, NAIP), English, 2 yrs/120 ECTS, Sept start, Studielink 1 Mar 2026 deadline (prior cycle), audition materials confirmed. NY-route page verbatim: third semester 'financed and guided by the Prins Claus Conservatorium'. Route page: https://www.prinsclausconservatorium.nl/en/programmes/master-of-music/study-routes/new-york-jazz. Tuition figure is 2025-26 booklet value - confirm current year. Hanze NL Scholarship and Hanze Scholarship confirmed at university level; programme-level eligibility to confirm."
"MSc Creative Intelligence & Technology (formerly Media Technology MSc) - creative research with technology, incl. sound/installation work",Leiden University (LIACS + Academy of Creative and Performing Arts),Netherlands,Public,Sound/Music-Tech,English,"EUR 22,500/yr institutional fee (2026-27, per Leiden tuition-fees pages) - higher than the ~EUR 20k estimate in the lead","Leiden University Excellence Scholarship (LExS) - Faculty of Science IS listed as eligible and CRIT sits in the Faculty of Science (LIACS), so programme qualifies; fixed award levels EUR 10,000 / 15,000 / 17,500 / 18,500 / 19,000 for full programme duration",Partial,"LExS is a partial tuition waiver only - no living costs; ~25 awards/year vs 1,000+ applicants; indicative bar = top 10% of graduating class",Y,N (no portfolio requirement found; motivation/research-fascination driven admission),Bachelor in ANY field (official/testimonial: 'very open to any field of previous Bachelor education'); shared fascination for research and technology; English proficiency required (exact IELTS/TOEFL thresholds not re-confirmed - candidate must sit a test),Via Studielink; for Sept 2027 apply from ~Oct 2026; Feb 2027 intake application already actionable (non-EU deadline 15 Oct 2026),"Sept 2027 intake: non-EU deadline 1 April 2027; Feb 2027 intake: non-EU deadline 15 October 2026 (per Leiden programme pages - both future dates, still confirm on the deadlines subpage nearer the time)",https://www.universiteitleiden.nl/en/education/study-programmes/master/creative-intelligence--technology,"Best on-paper fit in this batch for a software engineer into creative audio/interactive work: any-bachelor admission, Feb AND Sept intakes, and the Sept 2027 non-EU deadline (1 Apr 2027) is already known; research/exhibition-first though, not production training",Verified,"Official programme + admission pages fetched 12 Jul 2026: existence, rename from Media Technology, English, 2 yrs, Sept+Feb starts, open-field admission all confirmed on universiteitleiden.nl. Tuition EUR 22,500 (2026-27) and deadlines (15 Oct 2026 for Feb 2027 non-EU; 1 Apr 2027 for Sept 2027 non-EU) from Leiden pages via search. LExS eligibility (Science faculty) and amounts confirmed via official LExS page in search results. Not pinned down: exact English test scores and LExS application deadline for 2027 entry."
"MA Applied Musicology (1 year, 60 EC - music industry infrastructure, internship + thesis)",Utrecht University,Netherlands,Public,Music-Business,English,"EUR 21,342/yr non-EU/EEA institutional fee 2026-27 (verbatim from official UU programme page)","NL Scholarship (UU participates - listed on official UU scholarships page; national scheme = EUR 5,000 one-off). Utrecht Excellence Scholarship CONFIRMED DISCONTINUED for programmes starting 2026-27 onward due to budget cuts (no longer on UU's scholarship list)",Partial,"EUR 5,000 one-off vs EUR 21,342 tuition; no living stipend; also Bright Minds Fellowships exist but are geared to other faculties - check",Y,N (academic/selective admission: motivation letter + seminar paper or BA thesis demonstrating musicology theory),VERIFIED BARRIER: at least 60 EC of Music/Musicology components at bachelor level (official wording) + ability to interpret/apply musicology theory shown via seminar paper or BA thesis + convincing motivation letter; English: IELTS Academic 6.5 overall (min 6.0 each) or TOEFL iBT 93 (R24/L22/S20/W20) - candidate must sit a test; programme is selective; internships at concert halls/ensembles/agents/media confirmed as part of programme,1 October (annual; i.e. 1 Oct 2026 for the Sept 2027 intake),"Annual pattern on official page (no year attached): applications open 1 Oct; scholarship candidates 1 Feb; non-EU passport holders 1 Apr; EU 1 Jun - for Sept 2027 this implies non-EU deadline 1 Apr 2027, confirm when 2027 cycle publishes",https://www.uu.nl/en/masters/applied-musicology,"Industry-facing musicology with a built-in internship is appealing, but the verified 60-EC musicology prerequisite is a hard barrier for a CS graduate - effectively inadmissible without prior music credits; UES funding is also gone",Verified,"Official UU pages fetched 12 Jul 2026: existence, English, 1 yr (2 yrs part-time), EUR 21,342 non-EU fee 2026-27, internships, Sept start all confirmed. 60-EC music/musicology requirement and IELTS 6.5/TOEFL 93 confirmed on official admission pages (degree-from-a-non-dutch-university subpage). Deadlines (open 1 Oct; scholarship 1 Feb; non-EU 1 Apr; EU 1 Jun) taken from official subpage - stated without year, treat as recurring pattern and re-confirm for 2027. UES discontinuation from 2026-27 confirmed via official UU scholarship pages; NL Scholarship amount (EUR 5,000) is the national-scheme figure, not restated on the UU page fetched."
"MA Media & Creative Industries (Media Studies specialisation, 1 year, 60 EC)",Erasmus University Rotterdam (ESHCC),Netherlands,Public,Music-Business,English,"EUR 21,000 non-EEA (ESHCC masters 2026-27, confirmed); EU statutory EUR 2,694","NL Scholarship (EUR 5,000) + Erasmus Trustfonds",Partial,"NL Scholarship EUR 5,000 one-off",Y,N,Bachelor from a research university in social sciences or humanities - a CS degree does not fit the stated requirement (a pre-master route exists but is aimed at related-field degrees; case-by-case); IELTS 7.0 (6.5 subscores) / TOEFL iBT 100 (23 subscores),Check,PRIOR CYCLE - confirm new date (EEA deadline shown as 15 May; non-EEA English-proof deadline 1 May; Sept 2027 non-EEA deadline not yet published),https://www.eur.nl/en/master/media-creative-industries,"Creative-industries management/production/marketing with possible live-music-industry thesis topics - good industry-side complement, but admission from a CS bachelor is a significant risk per the official admission criteria",Verified,"Program, duration, English, Sept intake confirmed on official pages; tuition confirmed via EUR 2026-27 institutional-fee page (ESHCC master rate EUR 21,000). Admission page states social sciences/humanities research-university bachelor required - CS eligibility downgraded from 'to be checked' to unlikely without pre-master. English bar IELTS 7.0/TOEFL 100. 2027 non-EEA deadline not yet published."
NL Scholarship (Holland Scholarship) - cross-cutting funding scheme for all listed Dutch institutions that participate,Dutch Ministry of Education + participating universities (via Study in NL),Netherlands,Consortium,Sound/Music-Tech,"n/a (scheme, not a program)",n/a,"NL Scholarship - EUR 5,000, first year only, once per student",Partial,"EUR 5,000 one-off contribution in the first study year; official page explicitly states it is NOT a full-tuition scholarship",Y,N,"Non-EEA nationality (Tunisia qualifies - no country list/restriction on the official page); enrolling full-time in a bachelor's or master's at a participating institution; no prior degree from a Dutch institution; meet the chosen institution's own selection requirements. NOTE (unchanged, from prior research): Orange Tulip Scholarship is NOT open to Tunisia (NESO countries only)","Check per institution (~Nov 2026 for 2027-28, based on prior cycle)",Check per institution (each participating university sets its own NL Scholarship deadline; 2026-27 round opened 1 Nov 2025 - expect the 2027-28 round ~Nov 2026),https://www.studyinnl.org/finances/nl-scholarship,"The default partial-funding lever for this Tunisian candidate at almost any participating Dutch institution - applied for via each university, not centrally",Verified,"studyinnl.org confirms: EUR 5,000, first year only, explicitly not full funding, non-EEA nationality, no prior Dutch degree, decentralized application via each institution with institution-specific deadlines; 2026-27 applications opened 1 Nov 2025. No country exclusions listed, so Tunisia is eligible. Orange Tulip NESO restriction not re-verified in this pass but consistent with known scheme rules."
Mestrado em Som e Imagem - Sound Design specialization (Master in Sound and Image),"Universidade Catolica Portuguesa - Escola das Artes, Porto",Portugal,Private,Sound-Design/Production,Portuguese (page and admissions materials in Portuguese; English support at School of Arts not confirmed - Check),"EUR 657/month x 10 instalments = ~EUR 6,570/yr (~EUR 13,140 for the 2-year, 120 ECTS programme, 2026/27); no separate international rate; application fee EUR 50; enrollment EUR 460 + annual inscription EUR 365","UCP merit scholarships (Regulamento de Bolsas de Merito) - competitive, details on porto.ucp.pt; Erasmus mobility grant for one semester abroad",Partial,Check - merit scholarship coverage not quantified on official pages,Y,Y,Bachelor's degree (or transcript if pending); CV; link to portfolio required; interview for applicants from outside the School of Arts; 45 places across 3 phases; minimum admission score may be set per phase; pos-laboral (evening) regime,"2026/27: phase 1 Feb 2 - Apr 9; phase 2 Apr 30 - Jun 11; phase 3 Jul 1 - Aug 26, 2026","3rd phase closes 26 Aug 2026 for Sept 2026 intake - STILL OPEN as of 12 Jul 2026 (interviews Sep 1-2, results Sep 7); Sept 2027 cycle not yet published - confirm new dates",https://artes.porto.ucp.pt/en/academics/all-programs/sound-and-image-0 (admissions: https://admissions.porto.ucp.pt/pt/mestrado-em-som-e-imagem),"Sound design for cinema, games and installations with surround studios; evening classes fit DJ/producer gigging; ~EUR 6,570/yr private tuition is the trade-off; Portuguese comfort needed (French helps him learn fast). 2026 entry still possible via 3rd phase.",Verified,"Programme with Sound Design specialization, pos-laboral regime, 2026/27 phase dates, EUR 657/month tuition, portfolio-link requirement and EUR 50 application fee confirmed on official UCP admissions page (12 Jul 2026). Language of instruction not explicitly stated (materials in Portuguese). Merit scholarship existence confirmed but coverage unquantified. The prior-cycle dates in the draft were superseded by the published 2026/27 calendar."
Mestrado em Musica (specializations: Interpretacao and Composicao - Jazz NOT listed as a branch on the official page),Universidade de Evora - Escola de Artes,Portugal,Public,Sound/Music-Tech,"Portuguese and English (official page states 'Portugues, Ingles')","EUR 2,500/yr international; drops to EUR 1,200/yr with merit scholarship or EUR 1,400/yr with cooperation/development scholarship (confirmed on official page)","UEvora merit scholarship for international students (fee reduced to EUR 1,200/yr) and cooperation/development scholarship (EUR 1,400/yr)",Partial,"Tuition reduction only (EUR 2,500 -> 1,200 or 1,400/yr); no stipend",Y,Y,Licenciatura in Music or equivalent qualification; interview with minimum grade 12/20 including instrument interpretation test (Interpretacao) OR portfolio of original compositions (Composicao); 4 semesters / 120 ECTS (60 mandatory + 12 optional in course units),Per UEvora application calendar (calendario de candidaturas) - phases for international students,PRIOR CYCLE - confirm new date (2027/28 international call not yet published),https://www.uevora.pt/estudar/cursos/mestrados?cod=6198,"Cheapest verified public option (EUR 1,200/yr possible with merit scholarship) and partly English-taught per official page; composition branch accepts a portfolio of original works, a realistic route for his productions; note the page requires a music degree 'ou habilitacao equivalente', and orientation is classical - Jazz is not a listed branch (correcting earlier record).",Verified,"Official page confirmed all key fields: two specializations (Composicao, Interpretacao - no Jazz branch), Portuguese+English teaching, intl fee EUR 2,500/yr with scholarship reductions to EUR 1,200/1,400, interview min 12/20 with interpretation test or composition portfolio, 120 ECTS/4 semesters. Exact application dates behind calendar link, not shown on page."
